Id,Context,Pronoun,Position,Candidate Antecedent
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,the Halifax-class WPC-W and WPC-E
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,DND
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,a Canada Industry Integrated Project Team
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,(CI-IPT
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,Working Group
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,the work
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,the work and schedule
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,schedule
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,DWPs
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,The CPM
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,the CSI ISSC
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,all supportability requirements
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,system engineering
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,systems integration
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,software engineering
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,software testing
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,software testing and material support
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,material support
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,services
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,the Combat Management System
1-its-0,"Under the Halifax-class WPC-W and WPC-E, DND will chair a Canada Industry Integrated Project Team (CI-IPT) and Working Group to coordinate the work and schedule for DWPs. The CPM uses the CSI ISSC to provide all supportability requirements, including system engineering, systems integration, software engineering, software testing and material support services, for the Combat Management System (CMS), its associated hardware and all training aids.",its,77,CMS
